,target
560,15.629951838989351
561,16.81738010983851
562,16.3771170265012
563,16.06948706530251
564,15.599249784187359
565,15.260481762859001
577,13.689432463236187
578,12.617357452955943
579,11.712071362154486
580,10.829372116081604
581,10.619154254525943
582,9.46412951340478
583,9.165656764349542
586,13.021189640499326
587,12.651319206983345
588,11.990432125943363
589,11.62939207896816
590,11.139235148586208
591,10.867577481543556
592,10.193167627650581
595,14.40402529109372
596,13.95239183346068
597,13.825864767643449
598,13.616770553074593
599,13.333588181805009
600,12.197536314507888
601,11.644453602418283
613,13.318515515910445
614,12.909969342459947
615,13.690978549136553
616,14.58482818944847
617,14.525203597715407
618,15.234785288268174
619,15.040197926586593
622,13.302908357019179
623,12.977765259561714
624,12.497812723130284
625,12.170077524556508
626,11.723599595186041
627,11.483022803615915
628,11.311237585685308
640,12.329630088272602
641,10.983647302128675
642,10.438400727831178
643,9.93672888631593
644,11.36125337756004
645,10.968749861522683
646,10.698265803008391
649,17.117424844903372
650,16.50818211152517
651,16.20043553348878
652,16.01092004457508
653,15.53148017994081
654,15.214429640860788
655,14.812881612849086
667,13.715952066850924
668,12.95971032126492
669,12.701887164300514
670,12.8892098934608
671,12.332330777000672
672,12.059658627074638
673,11.988774476631482
676,15.313651926891856
677,15.120224133341424
678,14.423527318697733
679,13.782466569510602
680,14.107123643848556
681,15.422314203762703
682,14.578156282137469
685,13.871464524526504
686,13.586073493979805
687,12.95227469299733
688,12.3365920065384
689,11.979654990182167
690,11.472509637952784
691,11.039122627865256
694,16.71145492664941
695,16.00695054789942
696,15.58909247873996
697,14.54745432328623
698,13.96576164425042
699,13.234137283239319
700,12.368080944678459
703,16.02516292277489
704,15.440457973843282
705,14.449004332425078
706,13.187457993892215
707,12.306686915562768
708,11.500620063113073
709,11.521924848767028
712,13.432532705604489
713,13.161547551428527
714,14.079811407578143
715,13.79489654158098
716,13.620602117664822
717,13.69788850934878
718,13.495101416276011
730,17.129738525392714
731,16.809098834798977
732,16.554789493056376
733,16.25616215689303
734,15.686718096565087
735,15.184249978845777
736,14.798023767325304
739,11.295913079586258
740,10.85917205951056
741,14.773063379502608
742,14.106983934332057
743,13.43519405602658
744,12.41239551911404
745,11.310784800744297
748,16.82104562673611
749,16.59057670884189
750,16.285275989189632
751,15.964397701966323
752,15.928754433897906
753,15.42910282908809
754,15.08041720688059
757,11.703702837045164
758,11.108170104931304
759,10.504766124286546
760,10.290618953955788
761,9.646851848489673
762,8.950273466557375
763,8.953510763007166
766,15.326781794691486
767,14.573804824448672
768,14.160157858930253
769,13.496070840921336
770,12.598685516324519
771,12.47739283951465
772,12.10764912430408
775,11.443821873068284
776,13.186711880489613
777,13.926132010593015
778,13.854167650774984
779,13.644174044049072
780,13.53243651886685
781,13.104832607484765
793,12.496201721625006
794,11.982385196330322
795,11.867195519479093
796,11.145810498870537
797,11.050223116385967
798,11.651591154505844
799,12.42052251607565
802,12.474713325872736
803,11.978349875579791
804,12.495048880192668
805,12.068395528395804
806,11.532188731151075
807,16.488914171299637
808,16.14437023109013
811,16.358199126246866
812,15.945685850016101
813,15.232204144770002
814,14.45229847586612
815,13.77721349811192
816,13.943494718104981
817,13.25390904979075
820,15.826541290868644
821,15.045707679271036
822,14.223864157029569
823,13.199531804441921
824,11.989681247038497
825,11.52809975094114
826,10.641369064436244
829,13.955204671952183
830,11.741701126136068
831,10.436994010525176
832,8.06777619577889
833,10.960200878072532
834,10.177856395925783
835,12.868214077526464
847,15.968866838843832
848,15.297915914513682
849,14.768040640065703
850,14.117265639459758
851,13.362961703926576
852,12.895249454586224
853,12.365061601997681
856,15.463651549602316
857,15.16021909125084
858,14.95443911329386
859,14.86189156861605
860,14.68097946323984
861,14.403051637157136
862,14.385009913562442
865,11.613955618127578
866,14.385094781256587
867,16.274951611069994
868,15.975748945960527
869,13.958381575196881
870,15.805409977564302
871,15.571330192732397
874,15.619786369949887
875,15.205001055992668
876,14.642939474570694
877,14.44556617004556
878,14.254258915527581
879,13.646807842328311
880,12.659104948062813
883,14.927931401525413
884,13.957818820929182
885,12.674650258497831
886,12.493737217828828
887,12.214650748180013
888,11.883585164771485
889,11.61348547662441
892,14.84254735734291
893,14.82217019069795
894,14.69520286348384
895,14.474465282470996
896,14.025280276925784
897,13.9641322668769
898,13.78720367174874
901,12.407359060489075
902,12.022402179366907
903,14.289306985448706
904,13.20200969883491
905,16.795407969221348
906,16.253460374504236
907,15.793161177621748
910,13.158903578115039
911,12.15073433899541
912,11.430565073541462
913,10.990060997592481
914,10.609353505503847
915,9.914526399651344
916,10.008387962361498
919,15.643503912417875
920,14.91452776464202
921,14.370992097373485
922,13.91187018690417
923,13.062560293033576
924,12.146216478376807
925,11.378364971574534
928,16.28551970563568
