,Year,total_minutes,Revenue,month_sin_1,month_cos_1,month_sin_2,month_cos_2,month_sin_3,month_cos_3,month_sin_4,month_cos_4,Action,Adventure,Comedy,Crime,Documentary,Drama,Fantasy,Romance,Sci-Fi,Thriller,week_sin_1,week_cos_1,week_sin_2,week_cos_2,week_sin_3,week_cos_3,week_sin_4,week_cos_4,last_week_revenue,change_from_last_week,rolling_std_2,rolling_mean_2,MPAA_G,MPAA_NC-17,MPAA_PG,MPAA_PG-13,MPAA_R
15536,0.21987043418451077,1.7428635506248267,16.72983736654599,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,1,0,1,0,0,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.9749279121818237,-0.2225209339563141,-0.9749279121818235,-0.2225209339563148,17.656595665853796,-0.9267582993078065,0.5442815390136782,16.344972199434768,0,0,0,1,0
15537,0.21987043418451077,1.7428635506248267,15.960107032323545,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,1,0,1,0,0,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.9749279121818235,-0.2225209339563148,0.9749279121818237,-0.22252093395631387,16.72983736654599,-0.7697303342224444,0.5197422945020594,15.592593731411682,0,0,0,1,0
15538,0.21987043418451077,1.7428635506248267,15.22508043049982,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,1,0,1,0,0,-0.9749279121818236,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680295,0.6234898018587339,-0.7818314824680302,0.6234898018587329,15.960107032323545,-0.7350266018237246,0.5649712178742963,14.825585451165681,0,0,0,1,0
15539,0.21987043418451077,1.7428635506248267,14.426090471831541,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,1,0,1,0,0,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,0.4338837391175589,-0.9009688679024188,15.22508043049982,-0.7989899586682796,0.5911163258298612,14.008108109367164,0,0,0,1,0
15540,0.21987043418451077,1.7428635506248267,13.590125746902785,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,1,0,1,0,0,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,-7.347880794884119e-16,1.0,-9.797174393178826e-16,1.0,14.426090471831541,-0.8359647249287558,0.596819956568738,13.168110308465558,0,0,0,1,0
15541,0.21987043418451077,1.7428635506248267,12.746094870028331,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,1,0,1,0,0,0.7818314824680296,0.6234898018587337,0.9749279121818237,-0.22252093395631387,0.4338837391175589,-0.9009688679024188,-0.4338837391175571,-0.9009688679024196,13.590125746902785,-0.844030876874454,0.4915624183806317,12.398507750614908,0,0,0,1,0
15553,-0.7363684661041727,-3.4232209931067277,12.61812931482106,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004,0,0,0,0,1,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,-0.433883739117558,-0.9009688679024191,-0.7818314824680299,0.6234898018587334,0.7818314824680296,0.6234898018587337,12.192962076380079,0.4251672384409808,0.40682723777748453,12.330459016217208,0,0,1,0,0
15554,-0.7363684661041727,-3.4232209931067277,12.042788717613357,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004,0,0,0,0,1,0,0,0,0,0,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.9749279121818237,-0.2225209339563141,-0.9749279121818235,-0.2225209339563148,12.61812931482106,-0.5753405972077026,0.03410638830708042,12.018671859159639,0,0,1,0,0
15555,-0.7363684661041727,-3.4232209931067277,11.99455500070592,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004,0,0,0,0,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.9749279121818235,-0.2225209339563148,0.9749279121818237,-0.22252093395631387,12.042788717613357,-0.048233716907436275,0.019763147427311542,12.008529656269364,0,0,1,0,0
15556,-0.7363684661041727,-3.4232209931067277,12.022504311832805,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680295,0.6234898018587339,-0.7818314824680302,0.6234898018587329,11.99455500070592,0.027949311126883813,0.35064500355441547,12.270447771635315,0,0,1,0,0
15557,-0.7363684661041727,-3.4232209931067277,12.518391231437823,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004,0,0,0,0,1,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,0.4338837391175589,-0.9009688679024188,12.022504311832805,0.4958869196050184,0.2026900571111627,12.66171474530022,0,0,1,0,0
15558,-0.7363684661041727,-3.4232209931067277,12.805038259162615,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004,0,0,0,0,1,0,0,0,0,0,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,-7.347880794884119e-16,1.0,-9.797174393178826e-16,1.0,12.518391231437823,0.28664702772479167,0.8129008917399652,12.230230526180694,0,0,1,0,0
15559,-0.7363684661041727,-3.4232209931067277,11.655422793198772,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004,0,0,0,0,1,0,0,0,0,0,0.7818314824680296,0.6234898018587337,0.9749279121818237,-0.22252093395631387,0.4338837391175589,-0.9009688679024188,-0.4338837391175571,-0.9009688679024196,12.805038259162615,-1.1496154659638425,0.08993425173150492,11.719015912459053,0,0,1,0,0
15562,-0.8426172328029153,-0.8889153678799274,13.586902101218998,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,-7.347880794884119e-16,1.0,-9.797174393178826e-16,1.0,0,0,0,0,0,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,-0.433883739117558,-0.9009688679024191,-0.7818314824680299,0.6234898018587334,0.7818314824680296,0.6234898018587337,13.591456592348703,-0.00455449112970463,0.2847922939023705,13.38552353897096,0,0,0,1,0
15563,-0.8426172328029153,-0.8889153678799274,13.184144976722921,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,-7.347880794884119e-16,1.0,-9.797174393178826e-16,1.0,0,0,0,0,0,1,0,0,0,0,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.9749279121818237,-0.2225209339563141,-0.9749279121818235,-0.2225209339563148,13.586902101218998,-0.4027571244960768,0.11375433167224633,13.103708517408133,0,0,0,1,0
15564,-0.8426172328029153,-0.8889153678799274,13.023272058093344,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,-7.347880794884119e-16,1.0,-9.797174393178826e-16,1.0,0,0,0,0,0,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.9749279121818235,-0.2225209339563148,0.9749279121818237,-0.22252093395631387,13.184144976722921,-0.1608729186295772,0.37280082378648394,12.75966206756199,0,0,0,1,0
15565,-0.8426172328029153,-0.8889153678799274,12.496052077030638,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,-7.347880794884119e-16,1.0,-9.797174393178826e-16,1.0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680295,0.6234898018587339,-0.7818314824680302,0.6234898018587329,13.023272058093344,-0.5272199810627054,0.13252158155722282,12.402345168057966,0,0,0,1,0
15566,-0.8426172328029153,-0.8889153678799274,12.308638259085296,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,-7.347880794884119e-16,1.0,-9.797174393178826e-16,1.0,0,0,0,0,0,1,0,0,0,0,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,0.4338837391175589,-0.9009688679024188,12.496052077030638,-0.18741381794534284,0.6167116406485058,11.872557275946058,0,0,0,1,0
